Tweet,Message/tweets,Match,Polarity
0,"Leslieoo charliekirk His only goal in life is spreading ignorance
",ignorance,Negative
1,"I know many many highly knowledgeable pe
",knowledgeable,Positive
2,"University of Louisville Physicians Novak Center Connector Bridge in Louisville Ky by GBBN Architects uofl
",,Neutral
3,"SkyNewsAust Education Minister Dan Tehan is unveiling a coronavirus relief package on Sunday to reduce course costs in the university
",relief,Positive
4,"I Shemm Madrid a Second Year Civil Engineering student of the Far Eastern University stand firm that quality edu
",,Neutral
5,"now that more and more students are becoming aware that universities are not Benevolent Institutions of Education
",,Neutral
6,"denisebatters Morneau is handing Canada s death sentence with his mindless spending
","death, mindless",Negative
7,"Next step will be huge tax i
",,Neutral
8,"obert OrwellNGoode A former university instructor and an education consultant Definitely believe that
",,Neutral
9,"AD IANSYSNET Tiller Kate English local history an introduction History PressLtd
",,Neutral
10,"Tiller Kate English Local History the
",,Neutral
11,"CoachesCity Congrats to Justin Brookins and his family on his commitment to further his education at the University of Western Illinois
",commitment,Positive
12,"Congrats to Justin Brookins and his family on his commitment to further his education at the University of Western
",commitment,Positive
13,"eegarim miriamkrinsky Popehat Think of what we could accomplish in this Country if all those tax dollars to keep people incarcerated
",accomplish,Positive
14,"tara deschamps Toronto police are ramping up their crackdown on people who arent taking physical distancing seriously Officers are m
",,Neutral
15,"GISH SHOW CHOI Isaac Fausett Isaac plans to attend the University of Nebraska Kearney as a major in cyber systems with minors in co
",,Neutral
16,"All this talk of Universitys offering shorter up skilling courses in health amp education etc sounds very much li
",,Neutral
17,"ParamedicsInPC Our trainees are supported locally by NHS HealthEdEng Training Hubs with access to help from a Clinical Fellow and an
",supported,Positive
18,"Alberta Speech pathologists at Calgary schools say theyre heartbroken after surprise layoffs yyc
",,Neutral
19,"So umm The Department of Education funded The Ohio State University to make this That s insane
",insane,Negative
20,"Disaster Preparedness MOOC University of Pittsburgh Coursera education survival
",survival,Positive
21,"When there was no free trade in Canada there was no homelessness every working joe could afford to own a home F
","free, afford",Positive
22,"Education Minister Dan Tehan to make announcements about the university sector and reskilling options alongside CMO
",,Neutral
23,"KeatonPatti Canada a socialist country has
",,Neutral
24,"Speech pathologists at Calgary schools say theyre heartbroken after surprise layoffs yyc
",,Neutral
25,"Millycenti Hey NZStuff your article claims IPU is a university but theyre not theyre a PTE Sloppy reporting here the use of
",,Neutral
26,"Hey NZStuff your article claims IPU is a university but theyre not theyre a PTE Sloppy reporting here th
",,Neutral
27,"Free Education University How to find scholarships and grants specifically tailored to your personality type hob
",,Neutral
28,"Blockchains and new educational models v John Domingue johndmk amp Patrina Law
",,Neutral
29,"cjohnyrun Agreed I come from a poor mining town in Northern Ontario Most people never leave I was forbidden fro
","poor, forbidden",Negative
30,"When I was in elementary school I was in special education math I was an idiot lol I got a tutor from t
",idiot,Negative
31,"paige meyer I am excited to announce my commitment to further my education and basketball career at South Dakota State University I
","excited, commitment",Positive
32,"NP The whole Education System should really merge with Kahn University and its approach to learning It would mak
",,Neutral
33,"benmoxness Super excited to announce my commitment to play basketball and further my education at Doane University DoaneTigersM
","excited, commitment",Positive
34,"Nerdeneran Canada and countries like Norway and Denmark want people with advanced education and valuable job skill
","like, advanced, valuable, skill",Positive
35,"Super excited to announce my commitment to play basketball and further my education at Doane University
","excited, commitment",Positive
36,"ctruax I am happy to announce I will be joining Salesforce after graduating from Ball State University I look forward to being a Suc
",happy,Positive
37,"I am happy to announce I will be joining Salesforce after graduating from Ball State University I look forward to
",happy,Positive
38,"VicenteFoxQue Today more than ever we need new alternatives in world medicine I applaud the initiative of KhironLife and the Tecno
",applaud,Positive
39,"BlanchardSL shoffmanAB albertaNDP AdrianaLaGrange About Calgary Board of Education staff are losing jobs SAIT Mount oyal U
",losing,Negative
40,"one of the David Cohen s evicted tenant of Hotel Stuyvesant apartments Kingston NY is in Ladakh in my room at the
",,Neutral
41,"I Gem Mimano Saniel a nd Year B S Architecture student of the Far Eastern University stand firm that quality e
",,Neutral
42,"Dukemiles I would like to thank all the coaches that took the time out to recruit me With that being said I will like to announce t
","like, thank, like",Positive
43,"I John afael Apuyan a nd year Sports Science student of the Far Eastern University stand firm that quality edu
",,Neutral
44,"Hw Ni gyimiiBi University of Education Winneba wonna Basketball team dey lash everybody for GUSA gamesUPSA just chop dema own ride
",,Neutral
45,"Tyler Haywood will be entering his sophomore year at West Virginia University He is currently the social media ma
",,Neutral
46,"bubbaseahawk My son was so lucky to be able to work with susanslp when he was younger Early intervention is critical Another
","lucky, work, critical",Positive
47,"KellyMeyerhofer The Education Department released today how much each college and university will receive in stimulus Here s the li
",,Neutral
48,"UntamedBeauti ItsSamG NotsoScarySheri coffeeandvinyl
",,Neutral
49,"jlay Children in Alberta who require support from speech pathologists are still required to do home learning during the pandemic Wi
",support,Positive
50,"I lt Brown University Where students will touch advisors so as to ahieve free spirited education
","free, spirited",Positive
51,"joaquinbanyaga I Joaquin Carlos F Banyaga a st year BS Accountancy student of the Far Eastern University stand firm that quality
",,Neutral
52,"SaudiD PY YemenDevelopment School amp University buses are considered as a safe form of transportation for female students in Yeme
",safe,Positive
53,"DeleMomodu Augustine Bassey Williams
",,Neutral
54,"Political science education
",,Neutral
55,"This isn t your university friend or your ex This is a snake belonging to viper family If you say otherwise you r
",viper,Negative
56,"DrJonGerrard Saskatchewan is offering help to post secondary education students Why is Manitoba not acting
",,Neutral
57,"eporterNews Angelo State University President Brian J May has resigned and Angie Wright vice president for finance and administrat
","resigned, vice",Negative
58,"Angelo State University President Brian J May has resigned and Angie Wright vice president for finance and admin
","resigned, vice",Negative
59,"PubInterest George Mason Universitys Mercatus Center funded by the libertarian Koch Family Foundations is calling forderegulation
",,Neutral
60,"mathmania LOT The Balance Sheet National Business Education Quarterly magazine university print ads advertisements
",,Neutral
61,"Congratulations to wilmingtoncoll for being awarded the Best Value School for bestvaluecolleges
",awarded,Positive
62,"Children in Alberta who require support from speech pathologists are still required to do home learning during the
",support,Positive
63,"haqsmusings China will provide s billion for smart university project in Pakistan to introduce advanced digital technologies in
","smart, advanced",Positive
64,"China will provide s billion for smart university project in Pakistan to introduce advanced digital technolog
","smart, advanced",Positive
65,"amconmag shadihamid roddreher the bridge btw british hindus and muslims and encouraged muslims to participate i
",,Neutral
66,"Chris egan Its okay theyre really different Mine is more about the entire Boner State University system and t
",,Neutral
67,"Maybe this quarantine has a bright spot the futility of the CollegeBoard
","bright, futility",Neutral
68,"chyko AngelyBelema JesseLonnen Huawei While Americans are busy lying that China is stealing their technology
","lying, stealing",Negative
69,"HerCampusWells Michelle Obama
",,Neutral
70,"A lawyer university administrator and writer She is the first African American First Lady Shes an
",,Neutral
71,"Faleti edunaij TundeTASH Ahhhhh
",,Neutral
72,"Historically black colleges and universities HBCUs play an important role in providing education to millions of st
",important,Positive
73,"Go for subscribing the channel
",,Neutral
74,"Happy Easter everyone handyman coronavirus disinfection sanitation antiviral fogging covid cleaning
",,Neutral
75,"CharlieEatonPhD Just as Harvard has become a hedge fund with a small university attached to it the Department of Education has become
",hedge,Negative
76,"I lt Brown University Where students will slap Cpax in order to create leftist education
",slap,Negative
77,"SamAyomide The The MOST DYNAMIC UNIVE SITY IN AME ICA HE WILL GET A G EAT EDUCATION HE E AND MEET SOME OF
",,Neutral
78,"officestudents The Student Loans Company SLCComms has published guidance on loans at
",guidance,Positive
79,"KalaShreshth Prof ama is a Principal of Hansraj College University of Delhi amp a great scholar of Hindi Literature amp Media She ha
",great,Positive
80,"Listen to Changing Higher Ed s guest Bill Conley VP Enrollment Management for Buckn
",,Neutral
81,"NestaJA Thanks for the education keep it coming An argument for Civics return to the education curriculum from
",,Neutral
82,"greatgalle Ministry of Higher Education has been informed that the date of commencement of the University should be reviewed in accord
",,Neutral
83,"University relief funding covid australia auspol University
",relief,Positive
84,"buzzcutsngravy CovingtonAHS DeAngelisCorey Nick i cant imagine anything sillier than asserting that letting parents CHOOSE schools
",,Neutral
85,"Guidov pasports BcCaro MMFlint I d encourage you to look into all the insane voter suppression that happen
","encourage, insane, suppression",Negative
86,"Heres the low down on the governments university pandemic relief package to be announced later today it will u
",relief,Positive
87,"University of Concepcin Campus CHILE Although the UdeC is a study house that is part of higher education its c
",,Neutral
88,"mv magazine Its been almost years since Jacqueline Moloney was appointed the first female chancellor of UMassLowell In a sense M
",,Neutral
89,"but rly tho AOC You need to ask why Big Pharm decided to start price gouging
",,Neutral
90,"You need to ask university offic
",,Neutral
91,"yyCBEdu About Calgary Board of Ed staff are losing jobs SAIT Mount oyal University University of Calgar
",losing,Negative
92,"albertaNDP About Calgary Board of Ed staff are losing jobs SAIT Mount oyal University University of Cal
",losing,Negative
93,"BenTice up weekly Geckos I retired from education after almost years taught elementary to university students was an admini
",,Neutral
94,"JennBinis CovingtonAHS all you have to do to see this point is contrast to state university systems parents pay
",,Neutral
95,"up weekly Geckos I retired from education after almost years taught elementary to university students was
",,Neutral
96,"kayaking canada Also I bet he didnt care about the general cost of health care and education while his son was in it
",,Neutral
97,"to support them but putting them before work or education is ridiculous because those exams you skip could determin
","support, work, ridiculous",Positive
98,"shoffmanAB albertaNDP AdrianaLaGrange About Calgary Board of Education staff are losing jobs SAIT Mount
",losing,Negative
99,"Government to announce coronavirus relief package for higher education with focus on domestic students
",relief,Positive
100,"angelawya juniorsee Don t need any further education on this as it doesn t seem I m missing anything As it sta
",,Neutral
101,"Don t be shy Score a job like Student at Loma Linda University by asking for referrals It s a great way to get
","like, great",Positive
102,"You don t go to film school for an education you go to film school for the huge database of assets that your class
",,Neutral
103,"UTMBProvost Congratulations to Dr avi adhakrishnan Assoc Professor of Surgery and Pediatrics and Chief of Pediatric Surgery Dr
",,Neutral
104,"DeAngelisCorey gpstrickland Lmao and people in Canada bitch about our education system look at the states
",bitch,Negative
105,"Azula mrsdave MD Lafrance MeghanMcCain SykesCharlie That made no sense at all Trump was a pampered little rich white boy who
","pampered, rich",Positive
106,"NZStuff And watch the cases of COVID soar Possibly the worst idea ever If any sector can afford to stay loc
","worst, afford",Neutral
107,"Quarantine Center Workers Making TIK Tok Videos in GC University Fsd New Campus Education Guide
",,Neutral
108,"KenBoessenkool MattMendel In all seriousness Canada has one of the most decentralized education systems if you a
",seriousness,Negative
109,"KU Edwards is your Kansas City university
",,Neutral
110,"Learn how we make it easier for you to ise Up at KUinKC
",easier,Positive
111,"How JONES helped Bellevue University secure nearly earned media mentions using original research from consumer
","helped, secure",Positive
112,"ksbhsi George Mason Universitys Mercatus Center funded by the libertarian Koch Family Foundations is calling forderegulation of
",,Neutral
113,"Its been almost years since Jacqueline Moloney was appointed the first female chancellor of UMassLowell In a s
",,Neutral
114,"Interested in a job in ichardson TX This could be a great fit Education
",great,Positive
115,"AstonAmerican Our thoughts are with you during this time as we navigate through Covid together With all that is happening right n
",right,Positive
116,"MSEducationAPAC Creative a learning environment founded on diversityandinclusion is essential for every student to reach their poten
",,Neutral
117,"CovingtonAHS DeAngelisCorey Nick i cant imagine anything sillier than asserting that letting parents CHOOSE scho
",,Neutral
118,"Education Nigeria wants to leave for Canada
",,Neutral
119,"The fact that public university professors are sending their children to private universities or abroad for educati
",,Neutral
120,"Education Minister Dan Tehan is unveiling a coronavirus relief package on Sunday to reduce course costs in the univ
",relief,Positive
121,"rickellis sunlorrie ZackSlater This didn t age well of our Canadian Gov t WHO and China from Jan CTV Article Flip Flopping
",well,Positive
122,"GilkinsonS This is a huge concern There are great discrepancies between home situations and this will impact learning It always did
","concern, great",Neutral
123,"jk rowling ms owling I am not aware of tertiary education in the wizarding world Did professor McGonagall go to university
",,Neutral
124,"Evangel University will still have a full blown commencement in it will just be three months later than usual
",,Neutral
125,"How our team at CroftArchitects are redesigning learning environments for students across Staffordshire
",,Neutral
126,"fhspatriots Kaitlyn will be attending Marian University and playing D Volleyball She will be majoring in Secondary Education with a
",,Neutral
127,"lshwhatsthebuzz Jordan Biesecker will be attending NC State University in the fall we hope She will be majoring in Special Educat
",fall,Negative
128,"Jordan Biesecker will be attending NC State University in the fall we hope She will be majoring in Special Edu
",fall,Negative
129,"Nursing Education Market is set to Experience a evolutionary growth by Duke University Johns Hopkins Uni
",,Neutral
130,"KuiperbeltE picardonhealth Your racist rhetoric is not representative of Canada We are a land of diversity of di
","racist, rhetoric",Negative
131,"oldlife DeWine earned his Bachelor of Science degree in education from Miami University in Oxford Ohio in and a Juris Doctor fro
",,Neutral
132,"seniors fhs Alexis Tanker will be attending Bowling Green State University in the fall to study Education amp Psychology Good luck
","fall, luck",Neutral
133,"seniors fhs Shy Bodenstadt will be attending The University of Akron in the fall to study Middle Childhood Education Keep making
",fall,Negative
134,"DeWine earned his Bachelor of Science degree in education from Miami University in Oxford Ohio in and a Juris
",,Neutral
135,"Why would a university pay to some international students to come to Australia during the pandemic
",,Neutral
136,"Educators worry gap may grow for disadvantaged students stuck at home Learning
","worry, disadvantaged, stuck",Negative
137,"HappyintheWest Speech pathologists at Calgary schools say they re heartbroken after surprise layoffs
",,Neutral
138,"Help me out here but the schoo
",,Neutral
139,"We are strving because of this because we can t buy food as it spoils and when we brave it and buy it it spoils Sc
","spoils, brave, spoils",Negative
140,"ClemsonCofEd Who prepares the next generation At the Clemson University College of Education we prepare the students who prepare the
",,Neutral
141,"Dcl Prerequisite to becoming a president should be university educated amp ten years in service to your country b
",educated,Positive
142,"BDT Dcl Prerequisite to becoming a president should be university educated amp ten years in service to y
",educated,Positive
143,"Can you recommend anyone for this Education job in Edmond OK Click the link in our bio to see it and more SLP Ad
",recommend,Positive
144,"TCF Canada has some very exciting news to share with you Stay tuned on Monday April at pm for our big an
",exciting,Positive
145,"Flashback to high school P OPE P ONUNCIATION PEOPLE YOU CAN T SOUND LIKE SAVAGES
",,Neutral
146,"Flashbacks to different su
",,Neutral
147,"seniors fhs Hannah Babbitt will be attending Bowling Green State University in the fall to study Education amp Administration Goo
",fall,Negative
148,"Ismith I am very excited to announce that I have officially decided to further my softball career and education at Lubbock Christi
",excited,Positive
149,"Natalia Mateo One of my kids got laid off
",,Neutral
150,"Tax free CE B and Gst rebate plus less expe
",free,Positive
151,"Hannah Babbitt will be attending Bowling Green State University in the fall to study Education amp Administration
",fall,Negative
152,"nehadixit Whatsapp University followed by Madarsa education
",,Neutral
153,"Who prepares the next generation At the Clemson University College of Education we prepare the students who prepa
",,Neutral
154,"I am very excited to announce that I have officially decided to further my softball career and education at Lubbock
",excited,Positive
155,"Prof ama is a Principal of Hansraj College University of Delhi amp a great scholar of Hindi Literature amp Media
",great,Positive
156,"arsbooks According to Mara Franquiz bilingual education expert and professor at the University of Utah being bilingual multilingu
",,Neutral
157,"Not everyone has the talent despite all the formal education and university degrees saying without judging but in
",talent,Positive
158,"Alexis Tanker will be attending Bowling Green State University in the fall to study Education amp Psychology Good lu
",fall,Negative
159,"Shy Bodenstadt will be attending The University of Akron in the fall to study Middle Childhood Education Keep mak
",fall,Negative
160,"I got a chance to listen to and watch Thelonious Monk and his quartet play two shows a night for six weeks
",,Neutral
161,"Deadline to Apply April th of June
",,Neutral
162,"mstutelberg I am excited to announce my commitment to play basketball and further my education at Western Michigan University Beyon
","excited, commitment",Positive
163,"ChunhuaMs VanessaFiji Aussieneets ussellMoxham debbie spirit griffjane orangulandtrust orangutans
",,Neutral
164,"If you re looking for work in Nashville TN check out this Education job via the link in our bio Child Care Tea
",work,Positive
165,"As someone who works for a university I need to make this very clear remote education is not necessarily better t
","works, clear, better",Positive
166,"PoisonedStalked Courts amp the system are failing the children they should be prioritizing
",failing,Negative
167,"FC amp all those working in the system need
",,Neutral
168,"I Marielle Margallo a st Year Bs Nursing student of the Far Eastern University stand firm that quality educatio
",,Neutral
169,"Meldisny LB PeterSchiff With good investment plan any of them can be a millionaire in years With no university education
",good,Positive
170,"Meldisny LB PeterSchiff Anyone who can breathe and doesn t have mental issues can be a millionaire in this
",issues,Negative
171,"JerryFalwellJr the university has a responsibility to students who paid for the education want to be with frien
",,Neutral
172,"jordxnedwards Im positive I have paid for one of his kids university education by now
",positive,Positive
173,"News Leader Citing student input Evangel reschedules traditional commencement for August
",,Neutral
174,"jkenney Why do you keep selling Oil and Gas as the only thing that will save Alberta and Canada The real resource
",,Neutral
175,"kamlesm for gaining knowledge vidya vivek in new world it s Education nothing is needed other than inner strength amp Will
",gaining,Positive
176,"AIHA What are ear poisons Learn more about ototoxicants ear poisons that enter the workers body through inhalation and absorption b
",,Neutral
177,"Help me out here but the s
",,Neutral
178,"SoMersVick This is true Any CDN that votes against our health care plan and or education should consider moving out of Canad
",,Neutral
179,"SwissEmbassyUSA Interested in studying Earth amp Marine Sciences ETH en remains the best university in the world to do so according
",best,Positive
180,"AWESOME Gov on DeSantis and Education Commissioner ichard Corcoran announced that laptop computers are b
",,Neutral
181,"epMattGaetz in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid
",struggling,Negative
182,"robkingsford Excited to announce my commitment to continue my education and football career at the University of Mount Union Thank y
",commitment,Positive
183,"A father had three sons and when he sent t
",,Neutral
184,"ChezDominique What can we do as educators amp admin to help close up the gap in these challenging times msrgriffith MrsBylykbashi Je
",challenging,Negative
